event_date,daily_trx
2020-06-06,2566
2023-07-14,42272
2021-10-25,9875
2022-10-24,29291
2023-10-27,137770
2023-03-24,45030
2020-10-09,3480
2020-05-20,3830
2021-10-23,6656
2022-05-06,9150
2021-08-25,8044
2023-09-02,59083
2020-01-28,3209
2021-02-01,5102
2020-01-17,2768
2022-11-03,59422
2023-10-22,48749
2019-08-31,1555
2020-04-25,1399
2023-05-27,69425
2022-12-02,56410
2024-01-09,73632
2021-09-07,9026
2020-11-24,5301
2020-12-11,10136
2023-04-10,57519
2022-04-08,9509
2020-04-11,1383
2020-07-30,4205
2020-08-20,3100
2022-09-20,40911
2022-01-02,5807
2023-10-08,45282
2022-08-02,74480
2021-08-14,5646
2022-12-26,126767
2022-12-17,42431
2024-01-01,68595
2022-10-28,64615
2020-05-03,1251
2020-08-25,3662
2019-09-10,1570
2021-06-06,5037
2023-06-14,41687
2020-06-10,3081
2021-09-25,6298
2021-10-04,12095
2022-11-27,38695
2021-08-21,5663
2021-03-05,6432
2023-01-03,39666
2023-04-04,82439
2019-09-02,1368
2022-07-25,55829
2023-03-05,30749
2020-05-01,1585
2021-11-04,6441
2021-10-12,7559
2022-10-19,44703
2020-02-08,1835
2020-01-22,2479
2019-08-26,818
2023-07-31,95912
2020-04-20,1914
2020-05-05,2025
2022-02-28,18298
2023-12-13,66202
2020-07-15,3133
2022-05-17,7480
2022-12-15,44488
2023-05-21,29659
2023-10-06,57355
2022-07-31,42092
2021-12-22,11895
2021-08-16,7342
2020-11-13,2978
2022-09-18,19808
2019-11-24,2014
2020-08-18,3293
2020-03-29,1271
2022-04-21,7760
2021-02-12,3959
2022-02-11,6585
2023-11-17,48737
2021-11-09,9315
2022-03-17,6898
2021-11-14,4199
2021-12-05,6094
2021-07-09,7182
2022-12-13,44154
2023-09-21,54600
2021-03-27,8383
2020-03-23,1278
2024-01-31,128744
2021-10-08,7201
2020-02-06,2927
2023-03-30,87222
2021-05-07,8858
2020-09-24,3414
2019-09-27,2703
2021-01-22,4900
2019-12-21,3480
2022-10-13,37944
2021-02-18,4694
2023-07-08,81682
2023-04-06,46180
2021-06-04,8232
2023-03-03,70453
2020-05-16,1845
2021-06-30,12125
2019-09-15,1265
2021-01-02,7299
2021-04-23,6311
2022-08-05,41596
2020-11-03,4678
2021-03-07,3981
2021-03-20,3985
2023-01-20,31597
2023-05-01,70850
2021-03-18,3594
2021-12-08,8909
2023-09-13,67449
2023-09-28,118387
2020-02-19,2458
2023-12-27,107110
2022-05-14,6605
2019-12-31,3029
2023-11-19,30915
2020-05-14,1635
2019-10-06,1669
2021-06-19,4988
2020-10-01,5001
2021-01-30,7126
2023-11-04,57713
2021-10-03,7920
2019-12-10,3050
2021-01-15,6526
2021-10-18,6385
2022-10-04,60734
2020-07-12,1507
2022-04-25,9213
2023-10-11,53538
2022-08-26,61142
2021-12-25,7118
2021-11-25,9153
2023-09-15,47322
2021-12-10,11408
2021-07-20,7807
2020-08-07,3285
2020-04-04,1877
2024-01-24,86959
2021-10-06,8827
2022-11-25,54006
2020-06-08,3264
2022-06-27,101816
2020-09-13,1987
2020-08-23,2273
2022-10-30,37040
2022-08-15,36603
2019-10-08,2161
2021-03-10,4595
2020-08-01,3341
2021-04-02,12468
2023-01-14,27186
2021-04-21,6108
2022-12-08,44666
2022-05-10,10577
2023-09-24,78369
2022-08-20,28340
2020-11-09,3787
2023-09-09,81179
2021-03-22,6332
2024-02-10,50677
2022-06-17,7630
2020-10-20,3194
2020-10-05,4658
2023-07-27,116978
2022-02-08,10321
2022-11-20,27637
2022-06-02,11389
2020-06-02,3637
2023-07-25,101329
2023-08-11,42284
2022-02-23,9190
2020-03-01,1933
2023-12-25,71403
2022-01-13,7459
2023-09-30,73837
2019-11-03,1756
2022-03-26,7350
2021-11-02,8182
2023-11-25,77256
2022-09-30,62938
2023-07-29,76188
2023-02-12,59493
2021-07-04,6098
2022-11-16,37188
2024-02-08,107157
2023-04-14,37000
2023-04-27,82364
2022-04-12,9836
2022-08-09,51355
2021-08-23,8315
2019-10-15,2248
2020-06-23,2749
2021-04-10,10882
2024-01-11,62843
2022-12-19,49568
2022-08-11,38707
2022-09-06,53731
2022-09-27,91175
2021-07-18,3898
2019-11-20,2677
2020-04-02,1836
2022-04-10,5620
2022-03-24,8743
2023-11-08,113505
2023-07-10,75431
2023-03-20,35354
2020-09-01,4828
2019-09-17,1697
2022-02-17,7457
2021-05-14,4244
2022-07-10,26180
2022-10-17,48814
2020-02-17,2746
2022-12-25,28519
2022-09-12,48912
2020-12-20,5142
2021-08-04,12328
2024-02-12,89249
2023-01-09,52537
2021-09-23,6530
2022-01-29,11258
2022-05-28,13693
2021-05-09,6980
2023-02-05,29968
2021-06-27,7393
2021-01-28,9615
2023-12-04,113394
2020-07-02,3587
2020-03-14,2094
2024-01-20,57810
2020-12-17,5269
2020-04-09,1434
2023-04-21,67360
2024-02-06,100870
2023-04-29,61290
2019-11-16,2985
2019-10-21,2212
2022-10-15,27076
2023-06-27,80047
2021-05-16,3697
2023-05-12,40674
2021-12-27,14851
2020-03-20,1659
2020-08-13,3092
2023-04-16,27110
2021-09-16,6127
2021-02-03,8145
2021-06-15,6534
2019-10-02,2555
2023-12-08,108784
2023-11-23,59708
2021-04-08,11766
2020-06-25,3236
2023-10-17,58262
2020-12-26,5026
2022-01-22,6441
2022-11-05,32702
2020-05-27,3122
2021-01-17,3171
2022-03-12,6867
2022-10-02,39553
2022-06-23,69710
2020-06-11,2753
2020-10-03,4375
2019-10-04,2536
2020-09-18,2822
2020-09-03,4191
2021-10-29,14762
2023-12-10,43119
2019-10-19,2812
2022-09-21,39074
2023-06-28,103181
2023-06-19,73052
2023-03-31,70572
2020-01-23,2531
2022-02-14,7056
2022-11-09,38636
2020-01-08,2924
